Point,Back Sight,Intermediate Sight,Fore Sight,Rise,Fall,Reduce Level,Distance
Datum,2.395,,,,,10,
A,,2.05,,0.345,,10.345,5
B,,1.97,,0.08,,10.425,15
C,,1.888,,0.082,,10.507,25
D,,1.808,,0.08,,10.587,35
E,,1.722,,0.086,,10.673,45
F,,1.664,,0.058,,10.731,55
G,,1.609,,0.055,,10.786,65
H,,1.534,,0.075,,10.861,75
I,1.732,,1.493,0.041,,10.902,85
J,,1.795,,,0.063,10.839,95
K,,1.859,,,0.064,10.775,105
L,,1.936,,,0.077,10.698,115
M,,2.012,,,0.076,10.622,125
N,,2.052,,,0.04,10.582,135
O,,2.133,,,0.081,10.501,145
P,,2.216,,,0.083,10.418,155
Q,,2.289,,,0.073,10.345,165
Datum,,,2.634,,0.345,10,175
